casrn,ames_call
100-01-6,True
100-75-4,True
101-80-4,True
106-88-7,True
106-93-4,True
107-19-7,True
109-70-6,True
116-06-3,False
117-10-2,True
118-75-2,True
122852-42-0,False
126-99-8,True
129-00-0,True
137-30-4,True
148-82-3,True
1948-33-0,False
218-21-3,True
2278-22-0,True
23256-30-6,True
27080-42-8,True
320-67-2,True
333-41-5,False
34911-55-2,True
3544-23-8,True
3570-75-0,True
36133-88-7,True
41340-25-4,False
443-48-1,True
486-66-8,False
50-07-7,True
50-32-8,True
50-65-7,True
50892-23-4,False
520-18-3,True
53-70-3,True
531-82-8,True
54749-90-5,True
55557-00-1,True
56-57-5,True
5632-47-3,True
57018-52-7,True
5915-41-3,False
598-55-0,False
60-34-4,True
606-20-2,True
607-35-2,True
614-95-9,True
624-83-9,False
66-27-3,True
684-93-5,True
6959-48-4,True
71-43-2,False
72-56-0,True
72-57-1,True
75-65-0,False
77094-11-2,True
77500-04-0,True
79-43-6,True
838-88-0,True
85-44-9,False
869-01-2,True
91-08-7,True
91374-21-9,False
926-06-7,True
95-06-7,True
95-50-1,False
96-33-3,False
97240-79-4,False
99-99-0,False
99788-75-7,True
999-81-5,False
